artifact_id,kind,source,bytes,sha256,rows,columns,release_channel,redistribution_status,notes
surface_z_full_pdbsol,surface_vector,result/dmasif_z/pdbsol_surface_z_from_cache.csv,89738181,be6473bc0145f24d82edd5561c53c9d4a46976894e2bd5ecf9e799ca1c5b6708,64598,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,Full 64-dimensional protein-level surface vectors.
surface_z_full_external,surface_vector,result/dmasif_z/external_surface_z_from_cache.csv,10612407,2fcd0d8a906afbce2a3721c840b501c45f7260b2b574845706d4246fea23153e,7579,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,External-benchmark protein-level surface vectors.
surface_z_frozen_pdbsol,surface_vector,result/dmasif_z/pdbsol_surface_z_frozen_dmasif.csv,91848950,cd7b55c59d0a5911c569b41d98e377687ca3cd2ecd314e074b681dbee8a2f5e4,64598,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,Frozen-surface control vectors.
surface_z_frozen_external,surface_vector,result/dmasif_z/external_surface_z_frozen_dmasif.csv,10807311,4386a1914df2c87954ecae86cd761c3a2ee3dc923b4d1e2ca1feea249ff65a73,7579,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,External frozen-surface control vectors.
surface_z_chemistry_only_pdbsol,surface_vector,result/dmasif_z/pdbsol_surface_z_no_geom_round3.csv,88034722,c4fbffc6ee40e3247d675ee2c0585faa10c88f37e512b7859a08aeee06b9a901,64598,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,Geometry channels removed.
surface_z_chemistry_only_external,surface_vector,result/dmasif_z/external_surface_z_no_geom.csv,10352574,5bf6eb9a8faf6d21bffc9c6fd09eaa7048406e92abc3621de1a0b0a876020938,7579,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,External geometry-removed vectors.
surface_z_geometry_only_pdbsol,surface_vector,result/dmasif_z/pdbsol_surface_z_no_chem.csv,83656519,b7127acbd8975f6823ea7d9eaedcd828f0e71cc80582cf123d8c8337842c4c2e,64598,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,Atom-type chemistry channels removed.
surface_z_geometry_only_external,surface_vector,result/dmasif_z/external_surface_z_no_chem.csv,9845370,22c8d417cd7e5740fd4360637c9587d27b6cc568945c3fb69964dbe3e091252f,7579,name|z_0|z_1|z_2|z_3|z_4|z_5|z_6|z_7|z_8|z_9|z_10|z_11|z_12|z_13|z_14|z_15|z_16|z_17|z_18|z_19|z_20|z_21|z_22|z_23|z_24|z_25|z_26|z_27|z_28|z_29|z_30|z_31|z_32|z_33|z_34|z_35|z_36|z_37|z_38|z_39|z_40|z_41|z_42|z_43|z_44|z_45|z_46|z_47|z_48|z_49|z_50|z_51|z_52|z_53|z_54|z_55|z_56|z_57|z_58|z_59|z_60|z_61|z_62|z_63,Zenodo,hold_for_upstream_data_review,External chemistry-removed vectors.
final_concat_valid_source,prediction,result/ensemble_physico42_cross/probs_concat_valid.csv,113268,874b86164cdd6b787ff9c1aaf1a62fd301afcaa8d036ba1d4a9be0c64ce231cb,3230,name|label|prob_pos,GitHub,export_without_labels,Descriptor-augmentation validation probabilities.
final_cross_valid_source,prediction,result/ensemble_physico42_cross/probs_cross_valid.csv,112992,bf4e52b38c9e9f254e68296c2187abbd6a4626964826c5bd1cfac4c7823f1604,3230,name|label|prob_pos,GitHub,export_without_labels,Cross-attention validation probabilities.
final_concat_test_source,prediction,result/ensemble_physico42_cross/probs_concat_test.csv,113309,acad9412ef9f85b9bce8f77a131c1d2eb397f38ecb131d5ad0b793cd56289472,3230,name|label|prob_pos,GitHub,export_without_labels,Descriptor-augmentation test probabilities.
final_cross_test_source,prediction,result/ensemble_physico42_cross/probs_cross_test.csv,112797,117d1e4abb1df097cfb9640076a2d4886bf4541ffff94bf9043c24957ab94802,3230,name|label|prob_pos,GitHub,export_without_labels,Cross-attention test probabilities.
final_concat_external_source,prediction,result/ensemble_physico42_cross/external_eval/probs_concat_external.csv,298516,0d736f1ff93f96e977bc16b77d96d285cfb57033a642bcefa477e7993ac774a9,7579,name|label|prob_pos,GitHub,export_without_labels,Descriptor-augmentation external probabilities.
final_cross_external_source,prediction,result/ensemble_physico42_cross/external_eval/probs_cross_external.csv,298196,373648ce9249964080a82ba8ef38d97414cca5e98967077513f127c58b58ccc4,7579,name|label|prob_pos,GitHub,export_without_labels,Cross-attention external probabilities.
